RACEID,DRIVERID,LAP,POSITION,MILLISECONDS,DRIVERREF,RACE_NAME,PIT_STOP,MILLISECONDS_CUMULATIVE,MEDIAN_MILLISECONDS_CUMULATIVE
1047,830,48,1,101982,max_verstappen,2020 Abu Dhabi Grand Prix,N,5076068,5167905
1047,830,55,1,102182,max_verstappen,2020 Abu Dhabi Grand Prix,N,5788645,5851840.5
1047,822,8,2,102752,bottas,2020 Abu Dhabi Grand Prix,N,824196,847786.5
1047,822,15,2,101350,bottas,2020 Abu Dhabi Grand Prix,N,1729606,1742186
1047,822,28,2,101939,bottas,2020 Abu Dhabi Grand Prix,N,3053406,3096348
1047,822,35,2,101388,bottas,2020 Abu Dhabi Grand Prix,N,3763734,3828182
1047,830,2,1,102292,max_verstappen,2020 Abu Dhabi Grand Prix,N,206125,218755
1047,830,10,1,126235,max_verstappen,2020 Abu Dhabi Grand Prix,Y,1049849,1090039
1047,830,15,1,101153,max_verstappen,2020 Abu Dhabi Grand Prix,N,1727944,1742186
1047,830,22,1,101250,max_verstappen,2020 Abu Dhabi Grand Prix,N,2437952,2473686
1047,830,26,1,101357,max_verstappen,2020 Abu Dhabi Grand Prix,N,2843941,2887746
1047,822,42,2,101918,bottas,2020 Abu Dhabi Grand Prix,N,4474736,4550223
1047,822,48,2,101569,bottas,2020 Abu Dhabi Grand Prix,N,5087745,5167905
1047,822,55,2,104823,bottas,2020 Abu Dhabi Grand Prix,N,5804621,5851840.5
1047,1,10,3,129878,hamilton,2020 Abu Dhabi Grand Prix,Y,1061499,1090039
1047,1,16,3,102109,hamilton,2020 Abu Dhabi Grand Prix,N,1833544,1846797
1047,1,27,3,102034,hamilton,2020 Abu Dhabi Grand Prix,N,2954227,2991990
1047,1,32,3,101510,hamilton,2020 Abu Dhabi Grand Prix,N,3462848,3514274
1047,1,43,3,102168,hamilton,2020 Abu Dhabi Grand Prix,N,4580323,4653183
1047,1,48,3,101794,hamilton,2020 Abu Dhabi Grand Prix,N,5089925,5167905
1047,846,5,4,103966,norris,2020 Abu Dhabi Grand Prix,N,523839,533046
1047,846,11,6,158423,norris,2020 Abu Dhabi Grand Prix,N,1233338,1242049
1047,846,25,6,102916,norris,2020 Abu Dhabi Grand Prix,N,2770566,2784219
1047,846,31,6,102974,norris,2020 Abu Dhabi Grand Prix,N,3388618,3409488
1047,846,45,5,102449,norris,2020 Abu Dhabi Grand Prix,N,4825720,4859148
1047,846,51,5,102294,norris,2020 Abu Dhabi Grand Prix,N,5440714,5476713
1047,848,12,4,147288,albon,2020 Abu Dhabi Grand Prix,N,1374909,1385364
1047,848,21,4,102022,albon,2020 Abu Dhabi Grand Prix,N,2347704,2369940
1047,848,40,4,101625,albon,2020 Abu Dhabi Grand Prix,N,4283673,4344073
1047,830,33,1,101162,max_verstappen,2020 Abu Dhabi Grand Prix,N,3553105,3618530
1047,830,37,1,101725,max_verstappen,2020 Abu Dhabi Grand Prix,N,3959051,4035210
1047,830,41,1,101180,max_verstappen,2020 Abu Dhabi Grand Prix,N,4364912,4447093
1047,830,44,1,101546,max_verstappen,2020 Abu Dhabi Grand Prix,N,4669448,4756184
